hex;r;g;b;h;s;v;name
F1DDCF;241;221;207;25;14;95;Shades of pink#Other notable pink colors
36454F;54;69;79;204;32;31;Shades of gray#Charcoal
232B2B;35;43;43;180;19;17;Shades of black (colors)#Charleston green
E68FAC;230;143;172;340;38;90;Shades of pink#Charm pink
DFFF00;223;255;0;68;100;100;Chartreuse (color)
7FFF00;127;255;0;90;100;100;Chartreuse (color)
FFB7C5;255;183;197;348;28;100;Shades of pink#Cherry blossom pink
954535;149;69;53;10;64;58;Chestnut (color)
E23D28;226;61;40;5;183;125;Shades of red#Chili red
DE6FA1;222;111;161;333;50;87;Shades of pink#China pink
A8516E;168;81;110;340;52;66;Rose (color)#China rose
AA381E;170;56;30;11;82;67;Vermilion#Chinese red 2
856088;133;96;136;296;29;53;Shades of violet#Chinese violet
FFB200;255;178;0;42;100;100;Shades of yellow#Chinese yellow
7B3F00;123;63;0;31;100;48;Chocolate (color)
D2691E;210;105;30;25;86;82;Chocolate (color)#Variations of chocolate
58111A;88;17;26;352;80;34;Shades of red#Chocolate Cosmos
FFA700;255;167;0;39;100;100;Chrome yellow
98817B;152;129;123;12;19;60;Cinereous
E34234;227;66;52;5;77;89;Vermilion
CD607E;205;96;126;343;53;80;List of Crayola crayon colors#Silver Swirls
E4D00A;228;208;10;54;96;89;Citrine (colour)
9FA91F;158;169;31;64;82;66;Lemon (color)#Citron
7F1734;127;23;52;343;82;50;Wine (color)#Claret
0047AB;0;71;171;215;100;67;Cobalt blue
D2691E;210;105;30;25;86;82;Chocolate (color)#Variations of chocolate
6F4E37;111;78;55;25;50;44;Coffee (color)
B9D9EB;185;217;235;Columbia Blue;;;
F88379;248;131;121;5;51;97;Shades of pink#Congo pink
8C92AC;140;146;172;229;19;67;Shades of gray#Cool gray
B87333;184;115;51;29;72;72;Copper (color)
DA8A67;218;138;103;18;53;85;Copper (color)#Variations of copper
AD6F69;173;111;105;5;39;68;Copper (color)#Copper penny
CB6D51;203;109;81;14;60;80;Copper (color)#Copper red
996666;153;102;102;0;33;60;Copper (color)#Copper rose
FF3800;255;56;0;13;100;100;Coquelicot
FF7F50;255;127;80;16;69;100;Coral (color)
F88379;248;131;121;5;51;97;Coral (color)#Coral pink
893F45;137;63;69;355;54;54;Cordovan (color)
FBEC5D;251;236;93;54;63;98;Corn (color)
B31B1B;179;27;27;0;85;70;Shades of red#Cornell red
6495ED;100;149;237;219;58;93;Cornflower blue
FFF8DC;255;248;220;48;14;100;Shades of white#Cornsilk
2E2D88;46;45;136;241;67;53;List of Crayola crayon colors#Silver Swirls
FFF8E7;255;248;231;43;9;100;Cosmic latte
81613C;129;97;60;32;52;51;Coyote brown
FFBCD9;255;188;217;334;26;100;Shades of pink#Cotton candy
FFFDD0;255;253;208;57;18;100;Cream (colour)
DC143C;220;20;60;348;91;86;Crimson
9E1B32;158;27;50;349;83;62;Crimson#School colors
A7D8DE;167;216;222;187;45;87;Crystal
F5F5F5;245;245;245;— ;0;96;List of Crayola crayon colors#Pearl Brite
00FFFF;0;255;255;180;100;100;Cyan
00B7EB;0;183;235;193;100;92;Cyan#Process cyan
58427C;88;66;124;263;47;49;List of Crayola crayon colors#Metallic FX
FFD300;255;211;0;50;100;100;Shades of yellow#Cyber yellow
F56FA1;245;111;161;338;54;96;Cyclamen (color)
666699;102;102;153;240;33;60;Blue-gray#Dark blue-gray
654321;101;67;33;30;67;40;Shades of brown#Dark brown
5D3954;93;57;84;315;39;36;Byzantium (color)#Dark byzantium
26428B;38;66;139;223;73;55;Cornflower blue#Dark cornflower blue
008B8B;0;139;139;180;100;55;Shades of cyan#Dark cyan
536878;83;104;120;206;31;47;Electric blue (color)#Dark electric blue
B8860B;184;134;11;43;94;72;Goldenrod (color)#Dark goldenrod
1A2421;26;36;33;162;28;14;Jungle green#Dark jungle green
BDB76B;189;183;107;56;43;74;Khaki (color)#Dark khaki
483C32;72;60;50;27;31;28;Lava (color)#Dark lava
534B4F;83;75;79;330;10;33;Liver (color)#Dark liver (web)
543D37;84;61;55;12;35;33;Liver (color)#Dark liver (horses)
8B008B;139;0;139;300;100;55;Shades of magenta#Dark magenta
4A5D23;74;93;35;80;62;36;Shades of green#Dark moss green
556B2F;85;107;47;82;56;42;Olive (color)#Dark olive green
FF8C00;255;140;0;33;100;100;Shades of orange#Dark orange (web color)
9932CC;153;50;204;280;75;80;Orchid (color)#Dark orchid
03C03C;3;192;60;138;98;75;Shades of green#Dark pastel green
301934;48;25;52;291;51;20;Dark purple
8B0000;139;0;0;0;100;55;Maroon (color)#Dark red
E9967A;233;150;122;15;48;91;Salmon (color)#Dark salmon
8FBC8F;143;188;143;120;24;74;X11 color names#Color name charts
3C1414;60;20;20;0;67;24;Sienna
8CBED6;140;190;214;199;35;84;Sky blue#Dark sky blue
483D8B;72;61;139;248;56;55;X11 color names#Color name charts
2F4F4F;47;79;79;180;41;31;Slate gray#Dark slate gray
177245;23;114;69;150;80;45;Spring green#Dark spring green
00CED1;0;206;209;181;100;82;Turquoise (color)#Dark Turquoise
9400D3;148;0;211;282;100;83;Shades of violet#Pigment violet (web color dark violet)
00703C;0;112;60;152;100;44;Shades of green#Dartmouth green
555555;85;85;85;— ;0;33;Davy's grey
DA3287;218;50;135;330;77;85;Cerise (color)#Deep cerise
